Name,Organization,Project
Monica Yao,INCF,"""Future-Proofing"" Tedana"
Emily Thomas,INCF,16.4 Open Data for OpenWorm
Eugene Lyapustin,FFmpeg,360° video filter
IASON MANOLOUDIS,OpenStreetMap,3D Traffic Sign Rendering in OSM2World
ThePhD,GNU Compiler Collection,7 Years Later: On vector<bool> and optimized Standard Algorithms in libstdc++
Tanay Tummalapalli,The Apache Software Foundation,[BEAM-6611] A Python Sink for BigQuery with File Loads in Streaming
Ahmed Fathy,KDE Community,[digiKam] Project: Zoomable and Resizable Brush for Healing Clone Tool
Kumar Mallikarjuna,The GNU Project,[GNU Wget] HTTP/2 Test Suite
Nadeeshan Gimhana,The Apache Software Foundation,[OODT-986] A React based new UI for OPSUI
Pranshu Srivastava,Public Lab,`matcher.js` library and `Leaflet.DistortableImage` overhaul
Christos Chronis,Open Technologies Aliance - GFOSS,A DIY Robot kit for educators
Frederik Ramcke,Haskell.Org,A language server for Dhall
Anand,DBpedia,A Neural QA Model for DBpedia - Anand Panchbhai
Jian Cao,Gentoo Foundation,A new framework in support of multiple MPI implementations
Gregory S Brownson,R project for statistical computing,"A New Package for Empirical Asset Pricing Research, or EAPR"
Harman Deep Singh,Earth Science Information Partners,A Next Generation GUI for  Visualizing Big Gridded Data in Python
sudo-panda,JdeRobot - Universidad Rey Juan Carlos,A parameterized automata Library for VisualStates tool
Jongmin Kim,Ruby,A Rails 6 package transition in Debian
Margaret Norton,Public Lab,A small proposal for global environmental monitoring with Image Sequencer
dxld,Haskell.Org,A stronger foundation for interactive Haskell tooling
mstoeckl,X.Org Foundation,A Wayland application proxy
ajp,Red Hen Lab,Accountability Classifier from Annotated Data
Keshavan Seshadri,Open Chemistry,Active Learning Environment In 3Dmol.js
jguertl,KNIME,Active Learning for Guided Analytics
Shreevari SP,Mozilla,Activity Masking in rav1e
Alex Mingfei Sun,Open Source Robotics Foundation,Actor support on Ignition
Akul Abhilash Pillai,The NetBSD Foundation,Adapting TriforceAFL for NetBSD kernel fuzzing
Pradyumna Bang,Open Bioinformatics Foundation,Add blockchain and hyperledger support for the ‘Journal of Open Data Publications’
Sage Muhammad Abdullah,Django Software Foundation,Add Cross-DB JSONField
Song Qiang,The Linux Foundation,Add Driver Support for AD5940 in the IIO Subsystem
Vijay Kumar Banerjee,RTEMS Project,Add Framebuffer driver for Beaglebone Black
Navaneeth Suresh,Python Software Foundation,Add functionality to store an unresolved merge-state
Manikishan Ghantasala,The NetBSD Foundation,Add KNF (NetBSD style) clang-format configuration
Amit Joki,Wikimedia Foundation,Add Multi-Wiki Support to WikiEduDashboard
Pranav Pandey,Rocket.Chat,Add new features on React Native client
Yash Lamba,Python Software Foundation,Add New Machine Learning Models
Tejas Joshi,GNU Compiler Collection,Add new math.h and complex.h functions as built-ins.
Ajat Prabha,Cloud Native Computing Foundation (CNCF),Add Plugin Mechanism to the Dashboard
Rucha Deodhar,MariaDB Foundation,Add returning to insert
Shannon Sequeira,R project for statistical computing,Add subsampling to aster models
Aswin M Prabhu,Moira,Add support for additional delivery channels to Moira
berserker1,GNU Mailman,Add support for bounce processing in core
Elijah Oyekunle,Cloud Native Computing Foundation (CNCF),Add Support for Custom Resource Definitions to the Dashboard
Shawn Feng,R project for statistical computing,Add Support for Extra Optimization Solvers to PortfolioAnalytics
Alejandro Germain,Cloud Native Computing Foundation (CNCF),Add support for the OCI runtime spec by implementing a runc stage2
Nikhil Ramakrishnan,FreeType,Add Support for WOFF2 Fonts to FreeType
Kris Stern,Open Astronomy,Add Time-dependent Instrument Response Function to IRISpy
Param Bhavsar,TensorFlow,Add traditional machine learning algorithms to the Swift TensorFlow library
Njagi Mwaniki,Open Bioinformatics Foundation,Add Variant Graph (VG) support to BioD
Ziao Wang,Python Software Foundation,Add Windows Support for CVE-Binary-Tool
NilsHoel,RTEMS Project,Adding  PRU-ICSS drivers to RTEMS on Texas Instrument Sitara SoCs
zed009,The Honeynet Project,Adding (Updating) macOS support to Cuckoo SandBox
whiterat,TensorFlow,Adding and standardizing image processing operations in tf.image
Aditya Vitthalrao,OSGeo,Adding Augmented Reality (AR) support to the MapMint4ME Android Application
Shunji Nishitani,Ruby,Adding Autocomplete Function in RubyGems.org Search UI
Ryan Lee,TensorFlow,Adding Curiosity to TF-Agents
Amit Singh,Boost C++,Adding design policy and improving design
Abdalla mohamed Abounar,CircuitVerse.org,Adding Features to Subcircuits
Alish Dipani,Ruby Science Foundation,Adding Magick back-end support and iruby integration to Rubyplot.
ffmancera,Netfilter project,Adding missing features in nftables
Kartik Sapra,JBoss Community,Adding more options in Fabric8-Maven-Plugin for building images
Vlad Apetrei,Moodle,Adding multi-class classification to machine learning backend
sleep-404,JdeRobot - Universidad Rey Juan Carlos,Adding new features and Improving DetectionSuite
Ziheng Zhou,R project for statistical computing,Adding plotting engine into PerformanceAnalytics package
Dhayalan Balakrishnan,The Honeynet Project,Adding Privilege escalation functionality to the monkey
Asami Doi,coreboot,Adding QEMU/AArch64 Support to Coreboot
Hitesh Kumar Rawat,AOSSIE - Australian Open Source Software Innovation and Education,"Adding SSR, CI/CD, Tests, Geohash, NSFW image classifier, and revamping Datastore and UX"
KunalKushwaha,JBoss Community,Adding support for missing resources & missing test coverage in Kubernetes-Client.
Moazin,FreeType,Adding support for OpenType-SVG Fonts to FreeType
Victor Antony,TensorFlow,Adding traditional Machine Learning algorithms to Swift for Tensorflow
SHREYAS KOWSHIK,The Julia Language,Addition Of Baseline Models To Model Zoo
Lizabeth Katsnelson,cBioPortal for Cancer Genomics,Addition of novel CPTAC proteogenomic datasets to the cBioPortal
Xavier Figueroa,SPDX (Software Product Data Exchange),Additional Format Support for the Python Libraries
Roberto Hueso Gomez,mlpack,Advanced Kernel Density Estimation Improvements
Caner Akdaş,Computational Biology @ University of Nebraska-Lincoln,"Advanced Node, Edge, Arrow Plugin Library"
PRAGATI AGRAWAL,Zulip Open Source Project,Advancement/Improvement of Settings Subsystem. (Zulip-Server)
Panagiotis Lantavos,"CLiPS, University of Antwerp",Adversarial Examples for Natural Language Models
Angafor Brandon,AOSSIE - Australian Open Source Software Innovation and Education,Agora
Bomen Derick,AOSSIE - Australian Open Source Software Innovation and Education,Agora Slack Application
Mukul Kumar,AOSSIE - Australian Open Source Software Innovation and Education,Agora Vote Android Application- Mukul Kumar
Chirag Singhal,AOSSIE - Australian Open Source Software Innovation and Education,Agora-web Proposal GSOC 2019
Thanh Trung Dinh,KDE Community,AI Face Recognition with OpenCV DNN module
Albert Morea,Liquid Galaxy project,AirMashup for Liquid Galaxy
Rajat Singhal,Ardupilot.org,AirSim Simulator Support for Ardupilot SITL
Dimitrios Styliaras,Open Technologies Aliance - GFOSS,Ajax based interface Cscout
Abhishek Chauhan,CERN-HSF,Alert Redistribution System for Fink : an Apache Spark based Broker for Astronomy
Ashish Jha,Rocket.Chat,Alexa Skill for Rocket.Chat
Yashas Samaga B L,OpenCV,Allow the OpenCV's DNN module to work with GPUs
Sukhbir Singh,Amahi,Amahi 12 Improvements
Vishwas Mittal,Amahi,Amahi-Anywhere Improvements
Mikhaelle Bueno,Catrobat,Amaya
Alexey Mogilyovkin,MariaDB Foundation,An ambitious step into mariadb developers society
Jingrui Li,LabLua,An application for Céu-Arduino
snowkylin,TensorFlow,An Extended Version of “A Concise Handbook of TensorFlow” And A Library of Extended Keras Layers for TF 2.0
Caio Tonetti,KDE Community,An Improved Graph Theory IDE
Daniel Xia,R project for statistical computing,An R package for two new skew-t distributions
Alaa Salman,Free and Open Source Silicon Foundation,Analysis of WARP-V on FireSim with RocketChip
Tanmai Khanna,Apertium,Anaphora Resolution
dev-ritik,Named Data Networking Project,Android app improvement
Balaji Ramavathu,Amahi,Android App Improvements
Athina Plaskasoviti,Libvirt,Cloud-init configuration for virt-install/virt-manager
Rocco Meli,Open Chemistry,CNN Scoring for Flexible Docking
Suyash Bajpai,CCExtractor Development,co-oCCur: High speed subtitle synchronization tool
Aniruddha Mysore,Red Hen Lab,Cockpit : The Red Hen Monitoring System
Jenna Xu,The Processing Foundation,Code Slang
Stefania Mak,Catrobat,Coding Tutorial Game for Female Teenagers
Rohan Bhambhoria,coala,Cohesive Editor Support
casals,The Terasology Foundation,Collective Behavior in Terasology
Mritunjay Goutam,Mozilla,Common Voice - WebAssembly MP3 Encoding
Wathsara Daluwatta,SCoRe Lab (Sustainable Computing Research Lab),Community App Using Go Social Framework -  Animal Rescue App
Ankit Kataria,CircuitVerse.org,Community Platform Improvements
Rishabh Rawat,Public Lab,Community Toolbox Overhaul
Mohd Malik Naik,Drupal,Complete Porting of Icon API to Drupal 8
Sanyam Dogra,Developers Italia,Complete the React Web Toolkit
Arihant Parsoya,The Processing Foundation,Completing P5.py API and Improving Documentation
Thien Hoang,CGAL project,Compute a shortest non-contractible cycle on a surface
Muskaan,OpenCV,Computer Vision based Alpha Matting
Apoorva M K,The Mifos Initiative,Computer Vision Based PPI Tool
Vishal Thamizharasan,Cuneiform Digital Library Initiative (CDLI),Computer vision challenge for the cuneiform script
Garvit Dewan,Chapel,Concurrent-Safe Memory Reclamation Systems
Darjilla Haripriya Reddy,OpenMRS,Condition List Project
Lavanya Gaur,JBoss Community,Conflict Resolution and Offline Support for the AeroGear Android SDK
ikstream,freifunk,ConTest - Wireless resource allocation algorithm testing framework
HastagAB,FOSSology Project,Continuation of Atarashi OSS
Yiming Wu,Blender Foundation,Continued development on LANPR engine for Blender
Nancy Chauhan,Free and Open Source Silicon Foundation,Continuous Integration for Hardware Projects on LibreCores CI
Mrinal Wahal,INCF,Continuous Integration of Research Data
Fenn25,Submitty,Continuous Integration Testing (Automation) for Submitty.
Ishan Joshi,SymPy,Continuum Mechanics: Creating a Rich Beam Solver and Extending continuum mechanics module
Nupur Agrawal,phpMyAdmin,Convert UI to Bootstrap 4
Sajeer Ahamed Riyaf,GNOME,Converting GStreamer plugins to Rust
Vishal V,TensorFlow,Core Model Migration to TF 2.0
Julian Eisel,Blender Foundation,Core Support of Virtual Reality Headsets through OpenXR
Oliver Ford,R project for statistical computing,cpVis: Interactive visualization for change point exploration and labeling
Adeel Zafar,Kiwix,Create a Kiwix Hotspot application.
AdityaJ,Wikimedia Foundation,Create a subpage for statistics and charts related to a hashtag search
Hrishi Patel,Sugar Labs,Create a Sugar Dashboard
Inzamam Iqbal,CERN-HSF,Create a user interface for Ganga that allows for the execution of tasks inside user specified virtual machines.
Héctor Tundidor,OSGeo,Create of new topological rules in gvSIG desktop
Hiroyuki Katsura,Libvirt,Create Rust bindings for libguestfs
Nikhil Maan,SymPy,Creating a C and Fortran Parser for SymPy
Paul Pauls,TensorFlow,"Creating Neuroevolution Framework for Tensorflow 2.0, preimplementing 'Neuroevolution of Augmenting Topologies' (NEAT)"
Alessandro Vannoni,Developers Italia,Creating plots based on DAF data
Sahil Jajodia,CERN-HSF,Creation and usage of disposable Spark on Kubernetes cluster from SWAN notebook
Panagiotis Antoniadis,Open Technologies Aliance - GFOSS,"Creation of an online Greek mail dictation system, using Sphinx and personalized acoustic/language model training"
María Belen Guaranda,Creative Commons,Creative Commons-Visualize CC Catalog data
Anna A. Soboleva,"CLiPS, University of Antwerp",Cross-language analysis of U.S.-Russian relations via Twitter (Task 3) or early Alzheimer syndrome detection in speech analysis (Task 9)
Rohit Kumar Singh,AOSSIE - Australian Open Source Software Innovation and Education,Crowdalert-Mobile
Aayush Dutt,AOSSIE - Australian Open Source Software Innovation and Education,Cruise Website integration and Improving DevOps
Piyush Raikwar,NumFOCUS,CuPy automatic fallback to NumPy
Ashley Kang,The Processing Foundation,Curating Community Creativity for p5.js 1.0
Diego Velazquez,OpenCV,Curating Deep Nets for the OpenCV DNN Module
Utsav Shukla,AOSSIE - Australian Open Source Software Innovation and Education,"Curbing toxic/abusive language, Click-bait News through AI in Social Street Smart"
Bowen Hu,GNU Radio,Cycle-accurate Verilog Design Simulation Integration
Eleftheria,Open Astronomy,CZML Extractor for poliastro
Jonas Hungershausen,The Eclipse Foundation,Dart support for the Eclipse IDE
Rohan K,Global Alliance for Genomics and Health,Data pipeline for exchange of genomic variation between public repositories
Sarvesh Mehta,CiviCRM,Data Processor Enhancement
Dilshat Salikhov,Global Alliance for Genomics and Health,Data repository service
harshitbansal05,NumFOCUS,Data Retriever: Extract Scripts into Separate System
Karthik Ramesh Iyer,TensorFlow,Data Visualization library for Swift
Ben Ubah,R project for statistical computing,Data-Driven Exploration of the R Community
Prateek Nayak,D Programming Language,Dataframes for D
Krishnan Iyer,VideoLAN,dav1d ARM NEON optimization
Pablo Stebler,VideoLAN,dav1d compute shaders
Arda Akdemir,The Julia Language,De-Bruijn Graph Constructor Package for De-novo Genome Assembly
Binguo Bao,PostgreSQL,de-TOAST'ing using an iterator
Arthur Diniz,Debian,Debian Cloud Image Finder
Jaskaran Singh,Debian,Debian Patch Porting System
Dhyey Thakore,Mozilla,Debugger Inline Variable Preview
Bruna Pinos,TensorFlow,Debugging Model Performance in TensorBoard Guide
Shoumik Dey,AerospaceResearch.net,Decoding of ADSB and Multi-Lateral positioning
Fanny Monori,OpenCV,Deep learning based super-resolution algorithms based on OpenCV DNN
Vinay Pandramish,"Biomedical Informatics, Emory University",Deep Learning based Visual Recommendations
Ajay Subramanian,INCF,Deep Learning in Spiking Neural Networks using GeNN
Ronet Swaminathan,CBMI@UTHSC,Deep learning model for sepsis prediction using high-frequency data
Utkarsh Barsaiyan,Rocket.Chat,Deeper Nextcloud Integration
Tinko Sebastian Bartels,Boost C++,Delaunay Triangulation and Random Geometries for Boost.Geometry
Cnly,Matrix.org,Dendrite: Feature Completion in Multiple Areas + General Fixes/Improvements
Xuewei Meng,FFmpeg,Derain Filter in FFmpeg
Tharsanan Kurukulasingam,Software and Computational Systems Lab at LMU Munich,Design and Create CLion plugin for CPAchecker execution
Xinyu You,Red Hen Lab,Design and develop an online deep learning  course for humanists
Naga Sai Abhinay,Project PANOPTES,Design and Development of Demos and Tools
Konrad Dębiec,freifunk,Designing RetroShare for Android with chat backend improvements
Ahmed Essam,shogun.ml,Detox++
Kirill Nagaitsev,webpack,Dev Server Refactor
Sharapat Kalabaev,Apertium,Develop a releasable Uzbek-Qaraqalpaq translation pair
Rammanoj Potla,Wikimedia Foundation,Develop a tool for event organizers to track developer activity
Ilaria Battiston,PostgreSQL,Develop Performance Farm Database and Website
Ayush Kumar Sinha,ReactOS,Developer Web Interface for ReactOS with Server-side JavaScript
Tiffany Jansen,Open Astronomy,Developing “telescopy”: A Simple API for Retrieving Signal-to-Noise Estimates of an Arbitrary Astronomical Observation
Konstantinos Agiannis,Open Technologies Aliance - GFOSS,Development of a Greek open source Morphological dictionary and application of it to Greek spelling tools
Mariyam Fedoseeva,RoboComp,Development of a human activity recognition component
Isabel Najarro Borrego-1,RoboComp,Development of a Text To Speech component that operates offline for the EBO educational robot
Panagiotis Papantonakis,Open Technologies Aliance - GFOSS,Development of a Tool for Extracting Quantitative Text Profiles
Matthew Kear,Ardupilot.org,Development of Autonomous Autorotations for Traditional Helicopters
Liubove Orlov Savko,RoboComp,Development of human activity recognition component
Surya S Dwivedi,CERN-HSF,Development of LSTM and GRU layers in TMVA
Lakshya Khera,JBoss Community,Development of modules with new UI/UX
Shridhar Goel,FOSSASIA,Development of new features for the Open Event Organizer App
Saumya Biswas,NumFOCUS,Development of Qutip Functions for analysis of Bosonic/Fermionic Lattices
Sudharsana K J L,Python Software Foundation,DFFML: Implementing Labeled and Versioned Datasets and Efficient Data Storage
Shivam Goyal,FFmpeg,DICOM Support
Tejan Karmali,The Julia Language,Differentiable Duckietown
Avik Pal,The Julia Language,Differentiable Ray Tracer in Julia
Andreas Peter,The Julia Language,Differentiable Tensor Networks
Vladyslav Mokrousov,AerospaceResearch.net,DirectDemod Automatic Picture Transmission (NOAA) – BigImage and Globe Projection
Anubhav Singh,Submitty,Discussion Forum Upgrades
Amarnath Karthi,CERN-HSF,"Distributed Computing Resources: aggregation, usage, monitoring"
Alvis Wong,Chapel,Distributed Sparse Linear Algebra Library in Chapel
Nick Renieris,FFmpeg,DNG Raw Image Format Support
Ajay Tripathi (atb00ker),OpenWISP,Dockerization of OpenWISP
Zhibin Li,strace,DRM ioctl decoding
Dilina Dehigama,SCoRe Lab (Sustainable Computing Research Lab),DroneSym - Drone Fleet Controlling System
Ján Sučan,FreeBSD,Dual-stack ping command
ayushjn20,SCoRe Lab (Sustainable Computing Research Lab),Dunner
Jan Holzweber,The Eclipse Foundation,Dynamic Code Loading for Eclipse 4diac
Kyle Storey,The Java Pathfinder Team,Dynamic Partial Order Reduction Engine connected with Symbolic Data Race Detection for Habanero Java
Apoorv Goel,OpenCV,DynamicFusion Implementation
Lkop,JBoss Community,EAT (Eap Additional Testsuite)
Sanatt Abrol,The Eclipse Foundation,Eclipse SWT Chart - Extending the export options
Arpit Bhatia,NumFOCUS,Ecosystem Improvements and a JuMPTutorials.jl Package
Xiaodong Zhao,Computational Biology @ University of Nebraska-Lincoln,Edge Animations for Large-Scale Network Graphs
Anirudh Jain,MetaBrainz Foundation Inc,Edit Previews for non-release type Musicbrainz Entities
Naresh Bachwani,NumFOCUS,Effect Plot and PCA Visualizer
Yatin Maan,Pitivi,Effects Usability
Paul Chaignon,strace,Efficient syscall tracing for strace
Haeyoon Cho,The Apache Software Foundation,Empower Apache Nemo I/O with new hardware and off-heap memory
dwlsalmeida,GENIVI Alliance,Enable 3rd party content in embedded navigation systems by extending RAMSES ecosystem with a Blender exporter
Giovan Isa Musthofa,Cloud Native Computing Foundation (CNCF),Enable multiple network interfaces for Rook storage providers
Ayush Agrawal,TensorFlow,End-to-End Mobile Swift for Tensorflow Application
Eden-Grace Muamba,Apertium,English-Lingala language pair
Yashashvi Dave,Zulip Open Source Project,Enhance and refactor stream settings system
José C. García Alanis,Python Software Foundation,Enhance statistical inference using linear regression in MNE-Python
