Name,Organization,Project
Hopetech,.Org Foundation,"""Soft"" double precision floating point support"
Nimmy,DE,1 Krita Canvas Decorations Compatible with Modern OpenGL
rvolosatovs,LASMA-UMass,[Browsix] Init system
Gábor Horváth,pache Software Foundation,[FLINK-3599] Code Generation in Serializers and Comparators of Apache Flink
Teodor Ciuraru,"ysters, an Anita Borg Institute Community",[Malaria - iOS] Malaria Prevention iOS App
saksham1115,NU Project,[MediaGoblin] Subtitle Interface along with keyboard hotkeys for video player
Clemens Brunner,he Honeynet Project,[MITMProxy] Clemens Brunner
Lakini Senanayaka,SO2,[ML]Visual(Deep) Neural Network Builder
Izabela Cardoso,"ysters, an Anita Borg Institute Community",[PCSA-Android] Collaborative Map of Risk Areas
payal97,"ysters, an Anita Borg Institute Community",[portal] Completion of Systers Portal Meetup App
Nelson Liu,ython Software Foundation,[scikit-learn] Addition of various enhancements to the tree module by completing stalled pull requests.
Fabio Vitor,VXPY,A Centralized Library for Convex Optimization and Integration of CVXPY with ILOG CPLEX
xiaolei,ustainable Computing Research Group ( SCoRe ),A Clustering-based Analysis Tool for Anomaly Detection at Large Scale
martidi,SGeo - The Open Source Geospatial Foundation,A complete photogrammetric OSSIM tool for automatic DSMs generation using multi-view optical and SAR images
ljwolf,ython Software Foundation,A Core Datamodel for PySAL
xingguo, project for statistical computing,A generic computational framework for biconvex minimization toolbox in R
Vincent Bohlen,bpediaspotlight,A Hybrid Classifier/Rule-based Event Extractor for DBpedia Proposal
Kartik Gupta,etaBrainz Foundation,A Job Running Client for AcousticBrainz
Edgar Riba,penCV,A Modern Deep Learning module
shad0w_,Query Foundation,A module system for Hammer.js
Basil,obocomp,A new graphical tool for deploying components
Aviral Dasgupta,atrix.org,"A plugin system for vector-web, with listing and configuration support."
mate,NU Project,A private and secure auctioning library
Lodovico Giaretta, Foundation,A replacement of std.xml for the Phobos standard library
NeoRaider,reifunk,A schema-based configuration system for OpenWrt
arnav dhamija,DE,A staging area to improve selecting files in Dolphin
ranveeraggarwal,ython Software Foundation,A VTK-based UI for DIPY
Abhinand,ikimedia Foundation,Abhinand GSoC Proposal : Extension for page creating/editing notification
Tomasz Flendrich,ibvirt,Abstracting device address allocation
Dinuka De Silva,nclusive Design Institute,"Accessible, Responsive Music UI Controls"
prnk28,ikimedia Foundation,Accuracy Review of Wikipedia
ssk1328,imVideos.us,"Add ""hardware mixing"" support to HDMI2USB firmware"
Kevin Clancy,abLua,Add class-based object-oriented programming to Typed Lua
Pulkit_Gupta,DE,Add educational activities to GCompris (In Qt Quick)
Stefan Toncu,DE,Add educational activities to GCompris (In Qt Quick)
Katerina Koukiou,ibvirt,Add libvirt support for LXC migration.
Janaka,pache Software Foundation,Add MongoDB to Tajo Storage
Pranjal Bhor,he Linux Foundation,Add MuPDF support to cups-filters for a lightweight mobile printing stack
Muhammad Talha Paracha,rupal,Add Password-based Public-key Encryption to Drupal 8
eklavya,ulip Open Source Project,Add Python 3 support and type hints
bhimanshu,reeBSD,Add SCSI passthrough to CTL
Wolthera,DE,Add softproofing and wide-gamut colour selector to Krita
Iván Lomba,pache Software Foundation,Add support for arbitrary CPU and RAM in the ComputeService (jclouds-482)
Dampir,itHub,Add support for lookup by repository ID throughout GitHub APIs
blorente,cummVM,Add support for MacVenture games via WebVenture engine
Supun Wanniarachchi,oodle,Add support to end-to-end testing in the Mobile app
Carlos I. Colombana,SGeo - The Open Source Geospatial Foundation,Add tests and educational games support to gvSIG Educa.
Ankush Mishra,pache Software Foundation,Add the ability to sync events from CalDAV to Apache OpenMeetings Calendar
malayaleecoder,ndic Project,Add Varnam support into Indic Keyboard
vishnuv,SCEND,Adding Incompressible Fluids EOS to FPROPS
Jose Carrasco Mora,pache Software Foundation,Adding PaaS support to Brooklyn
Suraj Ponugoti,reeBSD,Adding SCSI passthrough to CTL
Devang Gaur,oodle,Adding search to more moodle components
Fabian Kristof,DE,Adding support for the FITS data format in LabPlot
srajangarg,ymPy,Adding to SymEngine's Polynomial functionality and interfacing it with FLINT & Piranha
Nash Vail,Query Foundation,Adding UI components to Chassis framework
rnikhil275,abLua,"Admin Center, Elasticsearch integration for Sailor and Luagoogle"
Shubham Patel,erkman Center for Internet and Society,Admin Panel Customization in Book-a-Nook
Aidana,he Apertium Project,Adopt an unreleased Kazakh-English language pair
Ujitha Perera,ublic Lab,Advanced Searching and Sorting Tool for publiclab.org
Idel Pivnitskiy,Boss Community,AeroGear WebPush and UnifiedPush Server integration
GerardGarcia,EMU,AF_VSOCK packet capture in Linux and Wireshark
varun_raiko,ariaDB,Aggregate Stored Funtions
zma,he Tor Project,Ahmia search engine for hidden services
jyeray,penSUSE,Alternatives YaST Module
Hannah Pedersen,ortland State University,Amazon Echo Recipe Integration
asla,EMU,AMD IOMMU interrupt remapping and other improvements
coderabhishek,cala,Ammonite - Better Scripts in Scala
Victor Dias,abLua,An automatic generator of WSDL documents to LuaSOAP
dash95,imelab Technologies Ltd.,An integrated graphical environment for visual inspection and filtering of time-series for astronomy
Rajan Maurya,ifos Initiative,Android Field Operations App Version 3
masterflorin,SGeo - The Open Source Geospatial Foundation,Android istSOS client
Chirayu Desai,ebian Project,Android SDK Tools in Debian
Mouaad Aallam,ebian Project,Android SDK Tools in Debian
Kai-Chung Yan,ebian Project,Android SDK Tools in Debian
Fossa,ifos Initiative,AngularJS Community App Enhancements
Faizan Khan, project for statistical computing,Animint
Justin W. Flory (jflory7),edora Project,Ansible and the Community (or automation improving innovation)
Kaide Mu,pache Software Foundation,Apache Cassandra: Make streaming operations resumable
cihad guzel,pache Software Foundation,Apache CouchDB datastore implementation for Apache GORA
bsikander,pache Software Foundation,Apache Hama benchmark against Spark and Flink
